Entry,Coiled_coil,Compositional_bias,Domain_CC,Domain_FT,Motif,Region,Repeat,Zinc_finger
Q05533,,,,,,,,
Q05549,,,,DOMAIN 299..483; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 521..678; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",MOTIF 423..426; /note="DEAH box",,,
Q05567,,,,,,,,
Q05568,,,"DOMAIN: The three subunits of the retrotranslocation channel (PEX2, PEX10 and PEX12) coassemble in the membrane into a channel with an open 10 Angstrom pore (By similarity). The RING-type zinc-fingers that catalyze PEX5 receptor ubiquitination are positioned above the pore on the cytosolic side of the complex (By similarity). {ECO:0000250|UniProtKB:G2Q0E2}.",,,,,ZN_FING 286..327; /note="RING-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00175"
Q05580,,COMPBIAS 1..27; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 344..360; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 550..570; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 598..627; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 222..292; /note="LIM zinc-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00125",,REGION 1..55; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 343..367; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 550..631; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 64..104; /note="RING-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00175"
Q05583,,,,,,,REPEAT 12..53; /note="WD 1"; REPEAT 56..95; /note="WD 2"; REPEAT 105..144; /note="WD 3"; REPEAT 151..190; /note="WD 4"; REPEAT 195..236; /note="WD 5"; REPEAT 248..286; /note="WD 6"; REPEAT 292..330; /note="WD 7",
Q05584,,,,,,,,
Q05636,,,,,,,,
Q05775,,COMPBIAS 22..37; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 57..71; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..71; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 219..265; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05776,,,,DOMAIN 2..172; /note="PRELI/MSF1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00158",,REGION 1..80; /note="Required for mitochondrial targeting"; /evidence="ECO:0000269|PubMed:16754953",,
Q05777,,,,,,REGION 19..57; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 111..143; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 167..191; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05779,,,,,,,,
Q05785,,COMPBIAS 150..164; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 175..208; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 471..606; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 11..143; /note="ENTH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00243"; DOMAIN 175..194; /note="UIM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00213"; DOMAIN 206..225; /note="UIM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00213",,REGION 140..208; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 323..351; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 356..375; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 471..613; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05787,,COMPBIAS 805..823; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 805..824; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",REPEAT 103..139; /note="Sel1-like 1"; REPEAT 143..186; /note="Sel1-like 2"; REPEAT 187..222; /note="Sel1-like 3"; REPEAT 413..445; /note="Sel1-like 4"; REPEAT 552..595; /note="Sel1-like 5"; REPEAT 596..627; /note="Sel1-like 6"; REPEAT 628..663; /note="Sel1-like 7",
Q05789,COILED 52..85; /evidence="ECO:0000255"; COILED 182..209; /evidence="ECO:0000255",,"DOMAIN: The N-terminal region (residues 2-83) bridges the coiled-coil I regions of ATG14 and VPS30 in the base of complex I. {ECO:0000269|PubMed:24165940, ECO:0000269|PubMed:27630019}.; DOMAIN: The C-terminal region (residues 123-226) is involved in interactions with the PI3-kinase complex I, localization to the PAS and homodimerization. {ECO:0000269|PubMed:27630019}.",,,,,
Q05791,,,,,,,,
Q05871,,,,,MOTIF 278..280; /note="Microbody targeting signal"; /evidence="ECO:0000255",,,
Q05900,,COMPBIAS 139..161; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 49..71; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 137..177; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 205..231; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 4..36; /note="Matrin-type"; /evidence="ECO:0000255|HAMAP-Rule:MF_03153"
Q05902,,COMPBIAS 73..88; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 73..92; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05919,COILED 223..255; /evidence="ECO:0000255",,,,,,,
Q05930,,,,DOMAIN 13..59; /note="F-box"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00080",,,,
Q05931,,,,,,,,
Q05934,,COMPBIAS 19..37; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 646..675; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 708..727; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..54; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 646..727; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 66..122; /note="BED-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00027"
Q05946,,,,,,,REPEAT 59..100; /note="WD 1"; REPEAT 102..139; /note="WD 2"; REPEAT 142..187; /note="WD 3"; REPEAT 191..233; /note="WD 4"; REPEAT 238..280; /note="WD 5"; REPEAT 386..425; /note="WD 6"; REPEAT 432..476; /note="WD 7"; REPEAT 489..528; /note="WD 8"; REPEAT 531..572; /note="WD 9"; REPEAT 573..614; /note="WD 10"; REPEAT 616..654; /note="WD 11"; REPEAT 664..705; /note="WD 12",
Q05949,,,,,,REGION 1..31; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 372..395; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05958,,COMPBIAS 7..22; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 356..378; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..42; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 140..159; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 344..378; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 401..485; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q05979,,,,,,,,
Q06010,,,,,,,,
Q06032,,COMPBIAS 241..263; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 418..474; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 239..263; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 418..482; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06053,,COMPBIAS 1..15; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 227..242; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..31; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 59..92; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 227..264; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,ZN_FING 92..122; /note="C3H1-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"; ZN_FING 134..164; /note="C3H1-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"
Q06058,,,,,,,,
Q06063,,,,,,,,
Q06078,,,DOMAIN: The WD repeats are grouped into two tandem seven-bladed beta-propeller regions.,,,,"REPEAT 40..71; /note=""WD 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 81..111; /note=""WD 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 119..158; /note=""WD 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 168..201; /note=""WD 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 208..245; /note=""WD 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 252..287; /note=""WD 6""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 295..347; /note=""WD 7""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 354..388; /note=""WD 8""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 415..454; /note=""WD 9""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 463..497; /note=""WD 10""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 505..541; /note=""WD 11""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 546..581; /note=""WD 12""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 583..624; /note=""WD 13""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""; REPEAT 626..664; /note=""WD 14""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00221, ECO:0000269|PubMed:24466140""",
Q06096,,,,,,,,
Q06102,,,,,,,,ZN_FING 28..59; /note="C3H1-type 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"; ZN_FING 61..88; /note="C3H1-type 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"; ZN_FING 89..117; /note="C3H1-type 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"; ZN_FING 118..145; /note="C3H1-type 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"; ZN_FING 147..170; /note="C3H1-type 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00723"
Q06106,,COMPBIAS 222..248; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 258..276; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 314..336; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 871..887; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 2..94; /note="RRM 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 345..423; /note="RRM 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 532..604; /note="RRM 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 663..746; /note="RRM 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176"; DOMAIN 763..840; /note="RRM 5"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00176",,REGION 121..143; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 203..276; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 297..336; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 864..887; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06132,,COMPBIAS 49..66; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 67..106; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 107..122; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 130..147; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 159..173; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 248..268; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 269..288; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 335..540; /note="MIF4G"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00698"; DOMAIN 644..781; /note="MI"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00698",,REGION 24..181; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 248..326; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06135,,,,,,,,
Q06142,,,,DOMAIN 25..106; /note="Importin N-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00115",,,REPEAT 3..35; /note="HEAT 1"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 37..66; /note="HEAT 2"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 90..129; /note="HEAT 3"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 134..164; /note="HEAT 4"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 177..208; /note="HEAT 5"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 219..255; /note="HEAT 6"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 260..306; /note="HEAT 7"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 317..362; /note="HEAT 8"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 367..395; /note="HEAT 9"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 402..442; /note="HEAT 10"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 452..484; /note="HEAT 11"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 496..530; /note="HEAT 12"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 536..586; /note="HEAT 13"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 592..629; /note="HEAT 14"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 634..669; /note="HEAT 15"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 675..713; /note="HEAT 16"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 718..764; /note="HEAT 17"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 773..812; /note="HEAT 18"; /evidence="ECO:0000269|PubMed:15878174"; REPEAT 819..859; /note="HEAT 19"; /evidence="ECO:0000269|PubMed:15878174",
Q06143,,,DOMAIN: The C-terminal Solcar repeat is required for association with the TIM22 translocation complex during import. {ECO:0000269|PubMed:15591051}.,,,,REPEAT 11..95; /note="Solcar 1"; REPEAT 103..195; /note="Solcar 2"; REPEAT 205..289; /note="Solcar 3",
Q06144,,COMPBIAS 11..36; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..50; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06147,,COMPBIAS 1..19; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 180..194; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 506..522; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 266..405; /note="DAGKc"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00783",,REGION 1..20; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 101..130; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 180..207; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 506..525; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06148,,COMPBIAS 278..294; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 295..325; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 270..342; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06151,,,DOMAIN: The C-terminal histidine triad (HIT) motif and the N-terminal domain are required for the decapping activity. {ECO:0000269|PubMed:15273322}.,,MOTIF 266..270; /note="Histidine triad motif"; /evidence="ECO:0000250",,,
Q06156,,,,,,,,
Q06159,,COMPBIAS 15..31; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,MOTIF 8..11; /note="ATG8-binding"; /evidence="ECO:0000305|PubMed:26040717"; MOTIF 52..59; /note="ATG11-binding"; /evidence="ECO:0000305|PubMed:26040717",REGION 15..50; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06160,,COMPBIAS 315..334; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 356..395; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 313..340; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 356..418; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06163,,,,DOMAIN 422..725; /note="Reverse transcriptase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00405",,,,
Q06164,,,,,,REGION 159..178; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1201..1454; /note="Required for interaction with MMS1",,
Q06168,,,,,,REGION 201..242; /note="Interaction with STH1"; /evidence="ECO:0000269|PubMed:9154831",,
Q06178,,COMPBIAS 14..29; /note="Pro residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 53..73; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 97..114; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..30; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 48..123; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06204,,,,DOMAIN 1..424; /note="Hexokinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,REGION 51..194; /note="Hexokinase small subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084"; REGION 195..413; /note="Hexokinase large subdomain"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01084",,
Q06205,,COMPBIAS 84..104; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 173..216; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 217..284; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 306..392; /note="PPIase FKBP-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00277",,REGION 58..116; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 161..284; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06211,,,,,,REGION 1..600; /note="Required for interaction with MMS22",,
Q06213,,,,,,,,
Q06217,,,,DOMAIN 31..110; /note="Sm"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01346",,,,
Q06218,,COMPBIAS 348..377; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 564..581; /note="Basic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",DOMAIN: The Q motif is unique to and characteristic of the DEAD box family of RNA helicases and controls ATP binding and hydrolysis.,DOMAIN 49..233; /note="Helicase ATP-binding"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00541"; DOMAIN 246..476; /note="Helicase C-terminal"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00542",MOTIF 17..45; /note="Q motif"; MOTIF 179..182; /note="DEAD box",REGION 339..377; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 558..594; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06224,,,,,,,,
Q06263,,COMPBIAS 237..259; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..167; /note="Interaction with DID2"; REGION 37..68; /note="Interaction with VSP60"; /evidence="ECO:0000269|PubMed:16505166"; REGION 187..217; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 233..280; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 280..330; /note="Dimerization"; REGION 290..330; /note="Interaction with VSP4",,
Q06266,,COMPBIAS 17..38; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 57..72; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 82..101; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 118..170; /note="FHA"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00086",,REGION 1..101; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 316..366; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06287,,,,,,,,
Q06321,,COMPBIAS 1..15; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 49..69; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 124..141; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 142..162; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 430..462; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 187..236; /note="GRAM 1"; /evidence="ECO:0000255"; DOMAIN 238..336; /note="PH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00145"; DOMAIN 570..636; /note="GRAM 2"; /evidence="ECO:0000255",,REGION 1..89; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 124..162; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 427..467; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06324,COILED 295..384; /evidence="ECO:0000255",COMPBIAS 445..478; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 300..439; /note="Interaction with MYO2"; /evidence="ECO:0000269|PubMed:15201867"; REGION 419..491; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06328,,,,DOMAIN 8..71; /note="PQ-loop 1"; DOMAIN 185..247; /note="PQ-loop 2",,,,
Q06339,,COMPBIAS 70..96; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 105..125; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 1..158; /note="Required for DNA-binding"; REGION 24..45; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 67..156; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 159..672; /note="Sufficient for interaction with TFC8"; /evidence="ECO:0000269|PubMed:16115780",,
Q06340,COILED 301..360; /evidence="ECO:0000255",COMPBIAS 1..29; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 36..50; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 51..69; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 70..84; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 97..116; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite","DOMAIN: The 2 SUMO-like regions, although related to ubiquitin domains lack the conserved acceptor Gly residue in position 456. {ECO:0000269|PubMed:15698469}.",,,REGION 1..154; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",REPEAT 169..287; /note="SUMO-like region 1"; REPEAT 380..456; /note="SUMO-like region 2",
Q06344,COILED 426..495; /evidence="ECO:0000255",COMPBIAS 78..105; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 121..135; /note="Acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 192..209; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 421..439; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 452..492; /note="Basic and acidic residues"; /evidence="ECO:0000256|SAM:MobiDB-lite"; COMPBIAS 594..608; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,,,REGION 78..147; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 192..229; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 412..541; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 582..628; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06346,,,,,,REGION 176..221; /note="COPI vesicle-binding",,
Q06349,,,,,,REGION 31..56; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06385,,,,,,REGION 1..26; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 197..208; /note="Beta-hairpin required for oligomerization",,
Q06389,,,,DOMAIN 24..59; /note="EF-hand 1"; /evidence="ECO:0000305"; DOMAIN 60..95; /note="EF-hand 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 96..131; /note="EF-hand 3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00448"; DOMAIN 144..179; /note="EF-hand 4"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00448",,,,
Q06390,,,,DOMAIN 155..290; /note="YTH"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00225",,,,
Q06406,,,,DOMAIN 11..86; /note="Sm"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01346",,,,
Q06408,,,,,,,,
Q06409,,COMPBIAS 1908..1922; /note="Polar residues"; /evidence="ECO:0000256|SAM:MobiDB-lite",,DOMAIN 1410..1824; /note="DOCKER"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00984",,REGION 1908..1932; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite",,
Q06410,COILED 146..221; /evidence="ECO:0000255"; COILED 353..384; /evidence="ECO:0000255",,,,,,,
